S.no,Name of the report,Year,Released Month,Link,Tags,AID,SID,SSID,CDN Report Link,Thumbnail Links- New,,
59,Building Up The E-Gaming Ecosystem of India And The Influence of Smartphones,2021,Sept,https://drive.google.com/file/d/1yFqMgqBXsJr33Qag-2HFzb7GF0VB4vYO/view?usp=sharing,"mobile gaming, game industry, digital entertainment, gaming trends, smartphone influence , game, games",1003,5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Building%20up%20the%20e-gaming%20ecosystem%20of%20India%20and%20the%20influence%20of%20smartphones,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/59.webp,,
60,India Diabetes Report,2022,Jan,https://drive.google.com/file/d/19JVTqNYVSsgovw9oF1psLQ4n7dePf7K9/view?usp=sharing,"chronic disease, health report, diabetes trends, medical insights, health analysis ",1003,10000,10002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/indiadiabetesmarketreport-220119124023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/60.webp,,
61,Indian Egrocery,2021,Jan,https://drive.google.com/file/d/1ex3WANBANYI0MU76nMgWsQ1eLaXVVMcS/view?usp=sharing,"grocery ecommerce, online shopping, retail trends, digital groceries, market analysis, ecommerce, e-grocery",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/indianegrocery2021report28jan20211-210128154529.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/61.webp,,
62,India Online Furniture Market: Ready For ‘Digital Takeoff’,2021,October,https://drive.google.com/file/d/1n5ggBrtwLrna25Raj6s93TQQjdQA7eak/view?usp=sharing,"furniture ecommerce, digital shopping, retail insights, market trends, online retail, furnishing, home decor",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/indiaonlinefurnituremarketreadyfordigitaltakeoff-211118071240.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/62.webp,,
63,IPL Gaming Report- 2023,2023,March,https://drive.google.com/file/d/1JoBaR3y26d276NmJ2OQQAb41xYAXF2f8/view?usp=sharing,"sports betting, game trends, digital games, 2023 insights, gaming industry, games",1003,5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/ipl-230407072120-9e36685e.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/63.webp,,
64,Leveling Up India’s Gaming Market,2021,Nov,https://drive.google.com/file/d/1uiQteluPvAfpBKgiw0b5tTkvRdyrtle5/view?usp=sharing,"gaming growth, digital games, entertainment trends, game insights, market analysis ","1003, 1021",5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/levelingupindiasgamingmarket2021-211125173156.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/64.webp,,
65,MSMEs As The Next Growth Engine For Indian Ecommerce,2023,Aug,https://drive.google.com/file/d/1j5stHZQuhd63Rc6KKVBw0PUTW_k7STwC/view?usp=sharing,"micro businesses, ecommerce growth, small enterprises, market insights, business trends ",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/MSME-Report-New.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/65.webp,,
66,Digital Disruptors Ranking: Consumer Products,2023,March,https://drive.google.com/file/d/1Gbot_drtm79PYFlfkGpWccF8pqCZSAiG/view?usp=sharing,"disruptive products, consumer market, digital innovation, product trends, market insights , consumer brands",1003,5000,5009,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/PR_Digital-Disruptors.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/66.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Digital%20Disruption-%20UAE%20is%20shaping%20the%20future%20of%20business.pdf
67,Impact of DPI On The Indian Internet Economy,2023,Dec,https://drive.google.com/file/d/19-mDC_tu_Jy_Px7adiZ4k6qRSlwDx04x/view?usp=sharing,"data privacy, internet trends, digital economy, tech insights, market analysis, digital public infrastructure",1003,13000,13001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer_GZ_DPI-REPORT.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/67.webp,,
68,Charging The Future For A Greener Planet : Electric 2W – Adoption From 0 To 100,2023,Jan,https://drive.google.com/file/d/1HKQ6hBxiCunjU7TpNhgeL1R-hZPCEJ9Y/view?usp=sharing,"electric scooters, green tech, vehicle adoption, sustainability trends, EV growth , 2W, 2 wheelers",1003,8000,8002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-EV-Report-website.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/68.webp,,
69,The $500 Mn Potential Indian Smartphone Insurance Market,2020,Dec,https://drive.google.com/file/d/1HfslMtrvNKlg_600caxcCV7DkRGxafey/view?usp=sharing,"mobile protection, insurance trends, smartphone coverage, market insights, insurance industry",1003,16000,16001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RedSeer-India-Smartphone-Insurance-Narrative_2020.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/69.webp,,
70,Demystifying India's SFV Platforms,2023,Nov,https://drive.google.com/file/d/1Ib3FkAEtOIWyBX3TX9AwPtUZ4L2X8_y5/view?usp=sharing,"short-form video, digital content, platform trends, market insights, SFV industry ",1003,19000,19003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-Report-Demystifying-Indias-SFV-Platforms-08112384.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/70.webp,,
71,India Digital SME Credit Report 2023: The $500B Opportunity,2023,Aug,https://drive.google.com/file/d/1biSABycNQSucFKu_ygy4YM1W_mG0v60p/view?usp=sharing,"SME lending, digital credit, financial trends, business loans, market insights ","1003, 1023",9000,9002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-x-GetVantage-Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/71.webp,,
72,Women Apparel Industry,2017,June,https://drive.google.com/file/d/1Sf4BDMHnf0lzFuV3-Efvg_lcGPfVDBNC/view?usp=sharing,"women's clothing, fashion market, apparel trends, clothing industry, fashion insights ",1008,18000,18001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Women%E2%80%98s%20Apparel%20Industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/72.webp,,
73,Retail Lending in a post Covid World – Winners and Laggards,2022,May,https://drive.google.com/file/d/11cvNk95o271oWVaNkYMoNBfehECr4D2I/view?usp=sharing,"consumer loans, lending trends, Covid impact, financial insights, lending market ",1008,9000,9003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Retail%20lending%20in%20a%20post%20covid%20world%20%E2%80%93%20winners%20and%20laggards.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/73.webp,,
74,Retail Health Insurance - A Large Whitespace,2023,Jan,https://drive.google.com/file/d/1nxMVGh4cHvIYXm4BJ_NU16BKYHjyqTJ8/view?usp=sharing,"medical insurance, healthcare coverage, insurance market, health trends, retail insights ",1008,16000,16002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Retail%20Health%20Insurance%20-%20A%20Large%20Whitespace.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/74.webp,,
75,Restaurant Industry Report,2022,March,https://drive.google.com/file/d/1x0yaaJhNn7uZe0hH3mrqnIxQ77GtquQp/view?usp=sharing,"food industry, dining market, restaurant trends, service insights, market report ",1008,11000,11001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Restaurant%20Industry%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/75.webp,,
76,"MSME Lending: Unlocking potential, Realizing Dreams",2023,April,https://drive.google.com/file/d/1nKNoVWDJrdCFziYLzGMJ0NBUwXf0HFST/view?usp=sharing,"micro loans, SME finance, business lending, market opportunities, lending trends, MSME",1008,9000,9003,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/MSME%20Lending_%20Unlocking%20potential,%20Realizing%20Dreams.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/76.webp,,
77,India Unjunking : A USD 30 billion appetite for health food,2022,March,https://drive.google.com/file/d/1o4WKCEDo67nVV3pQWYvyf-V48j83BHD_/view?usp=sharing,"health food, food industry, market trends, healthy eating, nutritious food, food market, healthy trends, eating habits",1008,11000,11002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%20Unjunking%20_%20A%20USD%2030%20billion%20appetite%20for%20health%20food.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/77.webp,,
78,"Hot and Spicy: INR 50,000 Cr Branded Spices Market",2021,Aug,https://drive.google.com/file/d/1IUUw8u77VbL4EExYz81pa3rIcVCq_YfO/view?usp=sharing,"spice brands, food trends, market insights, spice industry, branded products ",1008,18000,18002,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Hot%20and%20Spicy%20_%20INR%2050,000%20Cr%20Branded%20Spices%20Market.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/78.webp,,
79,Consumer Health and Wellness: A Shift From Elective To Essential,2023,July,https://drive.google.com/file/d/1_UE2fs0-bg3k9b5C9HK0Z0jqW0hCrn4I/view?usp=sharing,"wellness trends, healthcare market, consumer health, industry insights, wellness shift ",1008,10000,10003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Consumer%20Health%20and%20Wellness_%20A%20Shift%20From%20Elective%20To%20Essential.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/79.webp,,
80,B2B Marketplaces: Revolutionizing the Indian B2B commerce supply chain,2023,April,https://drive.google.com/file/d/1QPLtI9exekTDN56b63DjAMe7-5GH818W/view?usp=sharing,"business platforms, supply chain trends, B2B commerce, market insights, commerce revolution , b2b ecommerce",1008,5000,5008,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/B2B%20Marketplaces_%20Revolutionizing%20the%20Indian%20B2B%20commerce%20supply%20chain.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/80.webp,,
81,Agritech: Leading next decade‘s tech-first value creation,2022,Dec,https://drive.google.com/file/d/1YNNOPfSclfZj78a_sDMGwfahLBraXFcV/view?usp=sharing,"agri technology, tech farming, agriculture trends, value creation, future agriculture , agri-tech, agritech",1008,2000,2001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Agritech_%20Leading%20next%20decade%E2%80%98s%20tech-first%20value%20creation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/81.webp,,
82,Digital & Technology : 2021- The Breakout Year,2021,March,https://drive.google.com/file/d/1ZTY_vkjeubOPLMJYwOPxDKG82qZ8ARow/view?usp=sharing,"digital technology, 2021 trends, tech market, digital growth, tech innovation, digital trends, market growth, technology insights",1008,22000,22004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Digital%20&amp;%20Technology%20_%202021_%20The%20Breakout%20Year.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/82.webp,,
83,D2C Brands: Disrupting the next decade of shopping,2020,October,https://drive.google.com/file/d/17_8ptDNMRhk_Q-Oz0F8oGmetkzpjV6ar/view?usp=sharing,"direct-to-consumer, retail trends, market insights, shopping innovation, brand disruption, d2c, direct to consumer",1008,5000,5009,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/D2C%20Brands_%20Disrupting%20the%20next%20decade%20of%20shopping.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/83.webp,,
84,Internet Of Things: Surreal Becomes Real,2019,June,https://drive.google.com/file/d/1Jy-HZdYg15vyIR9Gk9WsJD8U13gdLV2d/view?usp=sharing,"smart devices, tech trends, IoT market, digital innovation, technology insights",1008,3000,3001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Internet%20Of%20Things_%20Surreal%20Becomes%20Real.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/84.webp,,
85,India‘s Mobile Internet,2013,Sept,https://drive.google.com/file/d/1nU_uurVmIwn21dpTb6YeJOCMNOEl36Cx/view?usp=sharing,"mobile web, digital connectivity, tech market, internet trends, mobile insights, jio",1008,5000,5004,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%E2%80%98s%20Mobile%20Internet%20-%20September,%202013.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/85.webp,,
86,The Theory of Inevitability: India's Digital Journey,2016,Nov,https://drive.google.com/file/d/1q5kt3UfUNhbGDWSCdwrNaxjX2pUOKM17/view?usp=sharing,"digital growth, tech trends, market analysis, future technology, India digital ",1008,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/The%20Theory%20of%20Inevitability.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/86.webp,,
87,Logistics-tech – Re-architecting the nervous system of the economy,2016,Nov,https://drive.google.com/file/d/1L6OqEidY0fKqczCKFr5qQENyCf5MhoBp/view?usp=sharing,"logistics innovation, economic trends, supply chain tech, market insights, tech economy, delhivery, delivery, logistics tech",1008,5000,5010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Logistics-tech%20%E2%80%93%20Re-architecting%20the%20nervous%20system%20of%20the%20economy.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/87.webp,,
88,Cloud Services 3.0: A USD 160 Bn Market Opportunity by 2026,2023,Sept,https://drive.google.com/file/d/1J8R9vjA4Hajt5eiypai0iVwVz2PD22zj/view?usp=sharing,"cloud computing, tech market, digital services, future insights, market growth ",1008,20000,20004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cloud%20Services%203.0_%20A%20USD%20160%20Bn%20Market%20Opportunity%20by%202026.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/88.webp,,
89,AI and Analytics: A USD 100 Bn Marketable Opportunity,2023,Aug,https://drive.google.com/file/d/1VZW98x89PrwFUrBYy8eOeCPPXzYzXSa_/view?usp=sharing,"artificial intelligence, data analytics, tech growth, digital insights, market analysis, gen AI",1008,3000,3002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/AI%20and%20Analytics_%20A%20USD%20100%20Bn%20Marketable%20Opportunity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/89.webp,,
90,Cybersecurity Services: A key to sustainable global digital disruption,2023,July,https://drive.google.com/file/d/1pu53KdIUeh1cib7nYUb-Rl0uDl7NRqsa/view?usp=sharing,"digital security, tech protection, cybersecurity trends, market insights, global tech ",1008,20000,20001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cybersecurity%20Services_%20A%20key%20to%20sustainable%20global%20digital%20disruption.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/90.webp,,
91,Quality Assurance 3.0,2023,Feb,https://drive.google.com/file/d/1P7ZjY636cVOcxX2BLB8Hms08u0RqN_CM/view?usp=sharing,"QA trends, tech quality, market insights, digital assurance, technology analysis ",1008,20000,20005,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Quality%20Assurance%203.0.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/91.webp,,
92,The Inevitability of Hyperautomation,2022,Nov,https://drive.google.com/file/d/1deBS9ErWfb2MXCeHGOVHVCoNQCKZD862/view?usp=sharing,"automation trends, tech innovation, digital growth, market insights, future tech ",1008,3000,3003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/The%20Inevitability%20of%20Hyperautomation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/92.webp,,
93,Future Leaders in Used Commercial Vehicle Finance,2021,July,https://drive.google.com/file/d/1GnrdjKGPFApNz-4CzFEzuddFOygKrEtp/view?usp=sharing,"vehicle loans, commercial finance, market insights, future trends, financial growth ",1008,9000,9004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Future%20Leaders%20in%20Used%20Commercial%20Vehicle%20Finance.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/93.webp,,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Flavours,%20Fragrances%20and%20Nutraceutical%20Ingredients%20in%20India.pdf"
94,Low Code Software and Services Providers Landscape,2021,April,https://drive.google.com/file/d/1oHCTGLYnsEs4C8NASE-dD5IhOypeR2xp/view?usp=sharing,"software development, tech landscape, digital services, market insights, code,  innovation, SaaS",1008,20000,20006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Low%20Code%20Software%20and%20Services%20Providers%20Landscape.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/94.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Logistics-tech%20%E2%80%93%20Re-architecting%20the%20nervous%20system%20of%20the%20economy.pdf
95,Implication of Coronavirus On Technology Outsourcing M&A Deal Activity – Evolving Perspective,2020,Sept,https://drive.google.com/file/d/1q9SHfrY0GFzBjt77xBZB4H1LzlEcDMQP/view?usp=sharing,"tech deals, outsourcing trends, Covid impact, market insights, M&A activity ",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Impact%20of%20Coronavirus%20On%20Tech%20Outsourcing%20Industry%20And%20M&amp;A%20Deal%20Activity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/95.webp,,
96,MuleSoft by Salesforce: An overview of API & PaaS Industry,2020,Sept,https://drive.google.com/file/d/1NYneeUfww_66CoruUedmkG3AOQ_JRUps/view?usp=sharing,"software integration, cloud services, tech platforms, API economy ",1008,20000,20008,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/MuleSoft.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/96.webp,,
97,ServiceNow: Overview of IT Industry,2020,Sept,https://drive.google.com/file/d/1ODdkhXo3QPaER6k4_4oPkaqPEIod4h9S/view?usp=sharing,"IT market, tech services, ServiceNow insights, market analysis, IT trends ",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/ServiceNow.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/97.webp,,
98,A Perspective on Staffing for IT Services,2020,Sept,https://drive.google.com/file/d/1du75jH0PRkSynyNt2LmWouXlOP9mz5KO/view?usp=sharing,"tech employment, IT workforce, market insights, staffing trends, digital jobs ",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/A%20Perspective%20on%20Staffing%20for%20IT%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/98.webp,,
99,Accenture:  The M&A engine,2020,Aug,https://drive.google.com/file/d/1ndtpnJpsYWoQHrMJVMbGOj0sYxQBrreV/view?usp=sharing,"Accenture, mergers and acquisitions, business strategy, market analysis, corporate acquisitions, strategic partnerships, consulting services, business growth",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Accenture_%20The%20M&amp;A%20engine.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/99.webp,,
100,Business Opportunities From Communication Service Provider Transmigration Into Digital Service Provider,2020,July,https://drive.google.com/file/d/1zMmyTmBgWJxIWvsrZGgX4qxW4Ornqwjv/view?usp=sharing,"communication service, digital transformation, market opportunities, tech trends, digital services service providers, tech migration, digital market, communication trends, service opportunities",1008,20000,20009,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Business%20Opportunities%20From%20Communication%20Service%20Provider%20Transmigration%20Into%20Digital%20Service%20Provider.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/100.webp,,
101,Impact of Coronavirus On Tech Outsourcing Industry And M&A Deal Activity,2020,March,https://drive.google.com/file/d/1J7TsE6Gtb8WM9P_jz8n0QrLfswsFz75r/view?usp=sharing,"coronavirus impact, tech outsourcing, M&A deals, market analysis, evolving trends Covid impact, outsourcing trends, tech deals, market insights, M&A activity",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Impact%20of%20Coronavirus%20On%20Tech%20Outsourcing%20Industry%20And%20M&amp;A%20Deal%20Activity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/101.webp,,
102,AI and Analytics: Driving the Next Wave of Digital Transformation,2020,March,https://drive.google.com/file/d/1X0UfmxmCqj3abRuXcFW1r2Fg7ZCCcUnZ/view?usp=sharing,"AI, analytics, digital transformation, tech trends, market insights artificial intelligence, data analytics, tech growth, digital innovation, market analysis, gen AI, generative AI",1008,3000,3002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/AI%20and%20Analytics%20_%20Driving%20the%20Next%20Wave%20of%20Digital%20Transformation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/102.webp,,
103,Will Azure top AWS: A Deep-dive into Azure Services ecosystem,2020,Jan,https://drive.google.com/file/d/1b88LP9bhyxZz4ypdUdCEDZ-EwK8kvk1_/view?usp=sharing,"Azure services, AWS comparison, cloud computing, tech analysis, market trends,  cloud platforms, service comparison, Azure insights, cloud technology, AWS vs Azure",1008,20000,20004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Will%20Azure%20top%20AWS_%20A%20Deep-dive%20into%20Azure%20Services%20ecosystem.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/103.webp,,
104,Managed Security Services,2019,Aug,https://drive.google.com/file/d/1SZAc7X6JtSFNO80rjjwpJL8OULMs7fP0/view?usp=sharing,"managed security, cybersecurity, tech services, digital protection, market analysis,  security management, cyber protection, tech security, digital defense, security services",1008,20000,20001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Managed%20Security%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/104.webp,,
105,IT Managed Services,2019,Aug,https://drive.google.com/file/d/1dT-DD2OgO1vJ3KgXy_7h5GFDLDRaKref/view?usp=sharing,"IT services, managed services, tech support, digital management, market insights,  IT support, managed solutions, tech services, digital support, IT management",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/IT%20Managed%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/105.webp,,
106,Hyper-growth of AWS ecosystem,2019,Aug,https://drive.google.com/file/d/1DKTXneB4Re2kfAddcBXaX4-i0vBrDwcj/view?usp=sharing,"AWS growth, cloud computing, tech ecosystem, market trends, digital services,  Amazon Web Services, cloud growth, tech ecosystem, digital trends, cloud services",1008,20000,20004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Hyper-growth%20of%20AWS%20ecosystem.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/106.webp,,
107,UI UX and Digital Transformation,2017,Jan,https://drive.google.com/file/d/1kGRkkb4q8ittogLRCQv2K8-PxJkCK2Bx/view?usp=sharing,"UI UX design, digital transformation, tech trends, user experience, market insights,  user interface, user experience, digital innovation, tech design, market analysis",1008,20000,20009,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/UI_UX%20and%20Digital%20Transformation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/107.webp,,
108,Cyber Security: Market Overview,2017,Aug,https://drive.google.com/file/d/1yf3OVVjRWG60xg1LR2_OIWhZggRl_ywo/view?usp=sharing,"cybersecurity, market overview, digital protection, tech trends, security insights, cyber protection, market analysis, digital security, tech security, security trends",1008,20000,20001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cyber%20Security.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/108.webp,,
109,Global Outlook on Analytics Industry,2017,Aug,https://drive.google.com/file/d/1VA9ZlHDOhqdsmxWdTTWRI7z87nWY5XAq/view?usp=sharing,"analytics industry, global outlook, market trends, data insights, tech analysis,  data analytics, global trends, market analysis, analytics insights, tech outlook",1008,20000,20010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Global%20Outlook%20on%20Analytics%20Industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/109.webp,,
110,Artificial Intelligence & Robotic Process Automation Primer,2017,Sept,https://drive.google.com/file/d/1t-S5uzEUyztSnVI1bvqHFnj48C3dGWKi/view?usp=sharing,"artificial intelligence, robotic process automation, tech primer, market trends, digital innovation AI, RPA, tech overview, market insights, automation trends, gen AI, generative AI",1008,3000,3003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Artificial%20Intelligence%20&amp;%20Robotic%20Process%20Automation%20Primer.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/110.webp,,
111,Outsourced Custom Software Development - Industry Overview,2017,Sept,https://drive.google.com/file/d/18Qf4d0tWBKDofU8GZRn2XfHmfqh_Hq_D/view?usp=sharing,"custom software, outsourced development, industry overview, tech trends, market analysis,  software development, outsourcing trends, tech industry, custom solutions, market insights",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Outsourced%20Custom%20Software%20Development%20-%20Industry%20Overview.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/111.webp,,
112,Cloud Services & Key Players,2017,March,https://drive.google.com/file/d/1IK2Z_pjEQmSc_-XszaFE6xy5maKAEFNx/view?usp=sharing,"cloud services, key players, tech market, digital transformation, industry analysis, cloud computing, market leaders, tech services, digital trends, cloud industry",1008,20000,20004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cloud%20Services%20&amp;%20Key%20Players.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/112.webp,,
113,Key Elements of Nasscom‘s Predictions till 2020,2017,Jan,https://drive.google.com/file/d/10ySVpaR_upN2gc7m8Q2lqi3I375uUS_f/view?usp=sharing,"Nasscom predictions, tech forecast, market trends, industry analysis, digital growth,  tech predictions, market forecast, industry trends, digital insights, Nasscom report, IT industry",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Key%20Elements%20of%20Nasscom%E2%80%98s%20Predictions%20till%202020.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/113.webp,,
